Omitted_ID,Beta,SE,CI_low,CI_high,t,df,p,Delta_beta,Deletion_DFBETA,Absolute_DFBETA,Percent_change,CI_excludes_zero,Above_DFBETA_threshold
40,-0.3988173390237814,0.15796162535316785,-0.7104775079793059,-0.08715717006825696,-2.524773584293733,183,0.012426873371413436,0.011141904713566297,-0.07055824028218123,0.07055824028218123,2.717807900120111,True,False
41,-0.4160415987491251,0.1571741378730245,-0.7261480455233089,-0.1059351519749413,-2.6470105348071358,183,0.00882869400522133,-0.006082355011777396,0.03851767515835749,0.03851767515835749,-1.4836487052537919,True,False
42,-0.3963101257284761,0.15778405370637213,-0.7076199437090829,-0.08500030774786937,-2.51172483162328,183,0.012879562603064908,0.013649118008871586,-0.08643564748289373,0.08643564748289373,3.3293841320519872,True,False
43,-0.4076380920530397,0.15820430708191358,-0.7197770749509644,-0.09549910915511495,-2.5766560947166663,183,0.01076430671040622,0.0023211516843080204,-0.014699136501623652,0.014699136501623652,0.5661908396423752,True,False
44,-0.403580039217903,0.16476701687054462,-0.7286673267243546,-0.07849275171145131,-2.449398228378382,183,0.015250985621133665,0.006379204519444737,-0.04039753137936221,0.04039753137936221,1.5560582221026242,True,False
46,-0.4036449000118578,0.15776115829639387,-0.7149095450757756,-0.09238025494794,-2.558582254153521,183,0.011319376102030446,0.00631434372548989,-0.03998678800985674,0.03998678800985674,1.5402369435375771,True,False
47,-0.409999640728209,0.15791921084378757,-0.7215761253513516,-0.09842315610506636,-2.5962619654538255,183,0.010189884948225895,-4.039699086128001e-05,0.0002558216625561985,0.0002558216625561985,-0.009853904132763382,True,False
48,-0.41086859751782623,0.15794965336692648,-0.7225051456018486,-0.09923204943380382,-2.6012630528751712,183,0.01004783575981003,-0.0009093537804785168,0.005758656548766696,0.005758656548766696,-0.22181565469496298,True,False
49,-0.4195980786797765,0.15785237272962077,-0.7310426909072831,-0.10815346645226992,-2.6581677007699454,183,0.008552340745704287,-0.009638834942428787,0.06103976379192072,0.06103976379192072,-2.351169070992868,True,False
50,-0.4116140313065547,0.15781953007174657,-0.7229938445787508,-0.10023421803435861,-2.6081311427009717,183,0.009855654628905095,-0.0016547875692070058,0.010479258432529026,0.010479258432529026,-0.40364684892120484,True,False
51,-0.4134193563652307,0.15810132885801437,-0.7253551620004031,-0.10148355073005827,-2.6149012114661545,183,0.009669454493722964,-0.003460112627882983,0.02191182427761339,0.02191182427761339,-0.8440138088701824,True,False
52,-0.40910760152047015,0.15791398156600692,-0.7206737687162441,-0.09754143432469625,-2.59069904680648,183,0.010350007607334058,0.0008516422168775573,-0.005393187046352193,0.005393187046352193,0.20773826420247438,True,False
53,-0.4167230613781589,0.15807942965247582,-0.7286156596198718,-0.10483046313644595,-2.6361624804333434,183,0.009105076555648626,-0.006763817640811187,0.04283316745153317,0.04283316745153317,-1.6498756264524244,True,False
54,-0.41018083721514803,0.15802059389024573,-0.7219573517969451,-0.09840432263335097,-2.595742916268508,183,0.010204730608972206,-0.00022159347780031924,0.0014032830340544704,0.0014032830340544704,-0.054052562830438224,True,False
55,-0.41013159744770944,0.15781022419358998,-0.7214930501114218,-0.09877014478399704,-2.5988911652808384,183,0.010114982890312254,-0.00017235371036172786,0.0010914627993920247,0.0010914627993920247,-0.042041669506091506,True,False
56,-0.413793780110624,0.15835303680216908,-0.7262262085187472,-0.10136135170250077,-2.61310921765004,183,0.009718430292831058,-0.0038345363732762983,0.0242829341797335,0.0242829341797335,-0.9353457524994864,True,False
57,-0.3952330272996573,0.1580282042244342,-0.7070245571614864,-0.08344149743782825,-2.501028403375014,183,0.013261555443018642,0.014726216437690398,-0.09325657906523106,0.09325657906523106,3.5921171830254366,True,False
58,-0.4161156706992132,0.1578843974028659,-0.7276234679886107,-0.10460787340981575,-2.6355718332156104,183,0.009120346008902467,-0.006156426961865469,0.0389867499338867,0.0389867499338867,-1.5017168306149384,True,False
59,-0.4089258720352138,0.15798678269384725,-0.7206356767236517,-0.09721606734677585,-2.5883549564247144,183,0.010418153149478502,0.0010333717021339117,-0.006544023731525274,0.006544023731525274,0.2520669354136996,True,False
60,-0.41146347655112764,0.15774356795235348,-0.7226934156566625,-0.10023353744559282,-2.6084326726742377,183,0.009847293468988137,-0.0015042328137799266,0.009525841679995274,0.009525841679995274,-0.3669225262654785,True,False
61,-0.4087563306603009,0.15791336396435207,-0.720321279320651,-0.09719138199995087,-2.5884847260462074,183,0.01041437009110325,0.0012029130770467855,-0.007617676879385031,0.007617676879385031,0.29342260125191044,True,False
62,-0.4156104223218723,0.15837733481885038,-0.7280907910064218,-0.10313005363732275,-2.62417866039507,183,0.009419428180886365,-0.005651178584524574,0.03578716805564693,0.03578716805564693,-1.3784732679781129,True,False
63,-0.40998501402786164,0.15792395870280654,-0.7215708662334201,-0.09839916182230318,-2.5960912922617587,183,0.010194764341858805,-2.5770290513926764e-05,0.00016319528814577857,0.00016319528814577857,-0.006286061579925552,True,False
64,-0.4209288757682944,0.1577549872077518,-0.7321813452007921,-0.10967640633579673,-2.6682444924163433,183,0.008309474897759794,-0.010969632030946697,0.06946729060644674,0.06946729060644674,-2.675785995442686,True,False
65,-0.4081054940903007,0.15780226894767932,-0.7194512509590436,-0.09675973722155784,-2.58618267539367,183,0.010481663022725674,0.0018537496470469872,-0.011739223802559734,0.011739223802559734,0.45217900934431565,True,False
